descriptor,value,metric,type
none,0.570692,test_RMSE,with_default_features
functional_group,0.612255,test_RMSE,without_default_features
physical_descriptors,0.544987,test_RMSE,without_default_features
H_bonding,0.650978,test_RMSE,without_default_features
reactivity,0.630265,test_RMSE,without_default_features
all_features,0.544987,test_RMSE,without_default_features
all_features,0.551255,test_RMSE,with_default_features
reactivity,0.600163,test_RMSE,with_default_features
H_bonding,0.605316,test_RMSE,with_default_features
functional_group,0.592657,test_RMSE,with_default_features
physical_descriptors,0.551255,test_RMSE,with_default_features
none,0.672385,test_RMSE,without_default_features
none,0.592866,val_RMSE,with_default_features
functional_group,0.631016,val_RMSE,without_default_features
physical_descriptors,0.605742,val_RMSE,without_default_features
H_bonding,0.680921,val_RMSE,without_default_features
reactivity,0.653604,val_RMSE,without_default_features
all_features,0.598206,val_RMSE,without_default_features
all_features,0.583806,val_RMSE,with_default_features
reactivity,0.605977,val_RMSE,with_default_features
H_bonding,0.611321,val_RMSE,with_default_features
functional_group,0.624725,val_RMSE,with_default_features
physical_descriptors,0.583806,val_RMSE,with_default_features
none,0.680891,val_RMSE,without_default_features